Veh 1 normal speed,Veh 1 max speed,Veh 1 min speed,Veh 1 color threshold,Veh 1 distance threshold 1,Veh 1 distance threshold 2,Veh 2 normal speed,Veh 2 max speed,Veh 2 min speed,Veh 2 color threshold,Veh 2 distance threshold 1,Veh 2 distance threshold 2,,,,,,,,,
90,130,80,37,500,600,90,165,80,40,300,330,,,,,,,,,
 Veh 1 color, Veh 1 distance, Veh 1 speed,Veh 1 stop, Veh 1 step, Veh 1 deviation, Veh 1 integral, Veh 1 derivative,Veh 2 color,Veh 2  distance,Veh 2  speed,Veh 2 stop,Veh 2  step,Veh 2  deviation,Veh 2  integral,Veh 2  derivative,Veh 2  frontID,Veh 2  frontTime,Veh 2  frontStep,Veh 2  frontSpeed,Veh 2  frontDistance
77,1528,130,0,0,39.5,0,48,75,1254,165,0,0,35,128,3,1,16152,0,130,1572
49,1529,130,0,0,11.5,11.5,-28,74,1227,90,0,0,34,162,-1,1,16298,0,130,1558
6,1490,130,0,0,-31.5,0,-43,73,1210,90,0,0,33,195,-1,1,16448,0,130,1528
14,1486,130,0,0,-23.5,-23.5,8,75,1196,90,0,0,35,230,2,1,16580,0,130,1529
73,1486,130,0,0,35.5,0,59,59,1202,90,0,0,19,249,-16,1,16728,0,130,1490
78,1472,130,0,0,40.5,40.5,5,9,1902,90,0,0,-31,0,-50,1,16877,0,130,1486
19,1472,130,0,0,-18.5,0,-59,5,1877,94.5,0,0,-35,-35,-4,1,17027,0,130,1486
5,1472,130,0,0,-32.5,-32.5,-14,37,1174,99.225,0,0,-3,0,32,1,17175,0,130,1472
60,1472,130,0,0,22.5,0,55,85,1168,104.18625,0,0,45,0,48,1,17318,0,130,1472
79,1472,130,0,0,41.5,41.5,19,85,1139,109.3955625,0,0,45,45,0,1,17471,0,130,1472
28,2550,130,0,0,-9.5,0,-51,54,1156,114.8653406,0,0,14,59,-31,1,17772,0,130,1472
5,2550,130,0,0,-32.5,-32.5,-23,6,1800,120.6086077,0,0,-34,0,-48,1,17772,0,130,1472
18,2550,130,0,0,-19.5,-52,13,11,1783,126.639038,0,0,-29,-29,5,1,17920,0,130,2550
62,1856,130,0,0,24.5,0,44,68,1162,132.9709899,0,0,28,0,57,1,18060,0,130,2550
51,1408,130,0,0,13.5,13.5,-11,62,1767,139.6195394,0,0,22,22,-6,1,18338,0,130,2550
6,2063,130,0,0,-31.5,0,-45,68,1746,146.6005164,0,0,28,50,6,1,18497,0,130,1856
7,2072,130,0,0,-30.5,-30.5,1,68,1718,153.9305422,0,0,28,78,0,1,18497,0,130,1408
67,2047,130,0,0,29.5,0,60,68,1702,161.6270693,0,0,28,106,0,1,18648,0,130,2063
73,1366,130,0,0,35.5,35.5,6,71,1672,90,0,0,31,137,3,1,18789,0,130,2072
7,2550,130,0,0,-30.5,0,-66,77,1638,90,0,0,37,174,6,1,18931,0,130,2047
5,2382,130,0,0,-32.5,-32.5,-2,75,1633,90,0,0,35,209,-2,1,19078,0,130,1366
47,2340,130,0,0,9.5,0,42,72,1619,90,0,0,32,241,-3,1,19219,0,130,2550
61,2550,130,0,0,23.5,23.5,14,62,1089,90,0,0,22,263,-10,1,19362,0,130,2382
26,1280,130,0,0,-11.5,0,-35,14,1076,90,0,0,-26,0,-48,1,19507,0,130,2340
18,1250,130,0,0,-19.5,-19.5,-8,5,1093,94.5,0,0,-35,-35,-9,1,19658,0,130,2550
73,2550,130,0,0,35.5,0,55,60,1076,99.225,0,0,20,0,55,1,19807,0,130,1280
71,2230,130,0,0,33.5,33.5,-2,72,326,90,0,0,32,32,12,1,19950,0,130,1250
64,2230,130,0,0,26.5,60,-7,70,1173,94.5,0,0,30,62,-2,1,20086,0,130,2550
67,2227,130,0,0,29.5,89.5,3,66,2550,99.225,0,0,26,88,-4,1,20358,0,130,2230
71,2227,130,0,0,33.5,123,4,39,362,104.18625,0,0,-1,0,-27,1,20500,0,130,2227
74,336,80,0,0,36.5,159.5,3,11,2304,109.3955625,0,0,-29,-29,-28,1,20500,0,130,2227
78,2163,80.5,0,0,40.5,200,4,19,2550,114.8653406,0,0,-21,-50,8,1,20643,0,130,2227
78,1122,81,0,0,40.5,240.5,0,62,1138,120.6086077,0,0,22,0,43,1,20788,0,130,336
80,1114,81.5,0,0,42.5,283,2,66,2550,126.639038,0,0,26,26,4,1,20928,0,80,2163
80,1062,82,0,0,42.5,325.5,0,56,1525,132.9709899,0,0,16,42,-10,1,21077,0,80.5,1122
32,1080,82.5,0,0,-5.5,0,-48,26,1119,139.6195394,0,0,-14,0,-30,1,21349,0,81,1114
5,1076,83,0,0,-32.5,-32.5,-27,12,2550,146.6005164,0,0,-28,-28,-14,1,21349,0,81.5,1062
15,1066,83.5,0,0,-22.5,-55,10,43,2550,153.9305422,0,0,3,0,31,1,21619,0,82.5,1080
88,1046,84,0,0,50.5,0,73,66,1166,161.6270693,0,0,26,26,23,1,21768,0,83,1066
79,1042,84.5,0,0,41.5,41.5,-9,69,2550,165,0,0,29,55,3,1,21768,0,83,1066
37,1024,85,0,0,-0.5,0,-42,56,954,165,0,0,16,71,-13,1,21919,0,83.5,1046
34,1028,85.5,0,0,-3.5,0,-3,11,1111,165,0,0,-29,0,-45,1,22068,0,84,1042
75,1001,86,0,0,37.5,0,41,4,1054,165,0,0,-36,-36,-7,1,22210,0,84.5,1024
74,998,86.5,0,0,36.5,36.5,-1,29,1046,165,0,0,-11,-47,25,1,22352,0,85,1028
30,979,87,0,0,-7.5,0,-44,63,2550,165,0,0,23,0,34,1,22488,0,85.5,1001
26,2550,87.5,0,0,-11.5,-11.5,-4,69,1012,165,0,0,29,29,6,1,22628,0,86,998
79,1906,88,0,0,41.5,0,53,47,972,165,0,0,7,0,-22,1,22779,0,86.5,979
78,960,88.5,0,0,40.5,40.5,-1,16,984,165,0,0,-24,0,-31,1,22942,0,87,2550
70,2550,89,0,0,32.5,73,-8,17,1054,165,0,0,-23,-23,1,1,23082,0,87.5,1906
59,2550,89.5,0,0,21.5,94.5,-11,65,982,165,0,0,25,0,48,1,23228,0,88,960
56,2550,90,0,0,18.5,113,-3,66,1024,165,0,0,26,26,1,1,23369,0,88.5,2550
