 Veh 1 color, Veh 1 distance, Veh 1 speed,Veh 1 stop, Veh 1 step, Veh 1 deviation, Veh 1 integral, Veh 1 derivative,Veh 2 color,Veh 2  distance,Veh 2  speed,Veh 2 stop,Veh 2  step,Veh 2  deviation,Veh 2  integral,Veh 2  derivative,Veh 2  frontID,Veh 2  frontTime,Veh 2  frontStep,Veh 2  frontSpeed,Veh 2  frontDistance,Veh 3 color,Veh 3 distance,Veh 3 speed,Veh 3 stop,Veh 3 step,Veh 3 deviation,Veh 3 integral,Veh 3 derivative,Veh 3 frontID,Veh 3 frontTime,Veh 3 frontStep,Veh 3 frontSpeed,Veh 3 frontDistance
5,1741,121.5,0,0,-32.5,-32.5,-1,27,1237,104.18625,0,0,-13,-84,23,1,9012,0,120,1779,34,1349,165,0,0,-3.5,0,24,2,12719,0,165,970
49,1726,122,0,0,11.5,0,44,71,2550,109.3955625,0,0,31,0,44,1,9012,0,120.5,1756,66,1206,165,0,0,28.5,0,32,2,12866,0,165,2550
66,1714,122.5,0,0,28.5,28.5,17,77,1227,114.8653406,0,0,37,37,6,1,9159,0,121,1741,63,2550,165,0,0,25.5,25.5,-3,2,13141,0,165,2550
53,1687,123,0,0,15.5,44,-13,17,1271,120.6086077,0,0,-23,0,-60,1,9297,0,121.5,1726,71,2550,165,0,0,33.5,59,8,2,13284,0,165,1762
62,1666,123.5,0,0,24.5,68.5,9,13,2354,126.639038,0,0,-27,-27,-4,1,9618,0,122,1714,69,2550,165,0,0,31.5,90.5,-2,2,13562,0,165,1722
78,1649,124,0,0,40.5,109,16,32,2550,132.9709899,0,0,-8,0,19,1,9618,0,122.5,1687,65,2550,165,0,0,27.5,118,-4,2,13699,0,165,1694
78,1633,124.5,0,0,40.5,149.5,0,59,2550,139.6195394,0,0,19,0,27,1,9771,0,123,1666,67,1307,90,0,0,29.5,147.5,2,2,13982,0,165,1611
67,1619,125,0,0,29.5,179,-11,61,2271,146.6005164,0,0,21,21,2,1,9921,0,123.5,1649,77,1744,90,0,0,39.5,187,10,2,14111,0,165,1603
52,1611,125.5,0,0,14.5,193.5,-15,49,2253,153.9305422,0,0,9,0,-12,1,10208,0,124,1633,22,2550,90,0,0,-15.5,0,-55,2,14262,0,165,1564
47,1607,126,0,0,9.5,0,-5,26,2238,161.6270693,0,0,-14,0,-23,1,10208,0,124.5,1619,23,2550,94.5,0,0,-14.5,-14.5,1,2,14582,0,165,1519
77,1607,126.5,0,0,39.5,39.5,30,25,1227,165,0,0,-15,-15,-1,1,10492,0,125.5,1607,63,2550,99.225,0,0,25.5,0,40,2,14721,0,165,1472
78,2550,127,0,0,40.5,80,1,59,2550,165,0,0,19,0,34,1,10637,0,126,1607,54,2550,104.18625,0,0,16.5,16.5,-9,2,15031,0,165,1456
70,2550,127.5,0,0,32.5,112.5,-8,65,2265,165,0,0,25,25,6,1,10778,0,126.5,2550,26,2550,109.3955625,0,0,-11.5,0,-28,2,15164,0,165,1418
43,2550,128,0,0,5.5,0,-27,57,1155,165,0,0,17,42,-8,1,10778,0,126.5,2550,62,2550,114.8653406,0,0,24.5,0,36,2,15302,0,165,1387
27,2550,128.5,0,0,-10.5,0,-16,26,1179,165,0,0,-14,0,-31,1,11078,0,127,2550,66,2550,120.6086077,0,0,28.5,28.5,4,2,15602,0,165,1385
61,2550,129,0,0,23.5,0,34,8,1119,165,0,0,-32,-32,-18,1,11078,0,127.5,2550,65,2550,126.639038,0,0,27.5,56,-1,2,15734,0,165,1326
72,2550,129.5,0,0,34.5,34.5,11,29,2290,165,0,0,-11,-43,21,1,11229,0,128,2550,61,2550,132.9709899,0,0,23.5,79.5,-4,2,16030,0,165,1326
53,2550,130,0,0,15.5,50,-19,71,2116,165,0,0,31,0,42,1,11362,0,128.5,2550,61,2550,139.6195394,0,0,23.5,103,0,2,16163,0,165,1254
15,2550,130,0,0,-22.5,0,-38,67,2550,165,0,0,27,27,-4,1,11644,0,129.5,2550,61,2550,90,0,0,23.5,126.5,0,2,16452,0,165,1227
16,2550,130,0,0,-21.5,-21.5,1,7,2100,165,0,0,-33,0,-60,1,11791,0,130,2550,63,2550,90,0,0,25.5,152,2,2,16591,0,90,1196
73,2550,130,0,0,35.5,0,57,5,1031,165,0,0,-35,-35,-2,1,11937,0,130,2550,64,2550,90,0,0,26.5,178.5,1,2,16752,0,90,1202
70,2550,130,0,0,32.5,32.5,-3,5,2550,165,0,0,-35,-70,0,1,12068,0,130,2550,6,2550,90,0,0,-31.5,0,-58,2,17025,0,90,1877
6,2550,130,0,0,-31.5,0,-64,54,2108,165,0,0,14,0,49,1,12228,0,130,2550,43,1269,94.5,0,0,5.5,0,37,2,17183,0,94.5,1174
5,2550,130,0,0,-32.5,-32.5,-1,72,2550,165,0,0,32,32,18,1,12380,0,130,2550,60,2550,99.225,0,0,22.5,22.5,17,2,17481,0,104.1862488,1139
64,2550,130,0,0,26.5,0,59,75,2550,165,0,0,35,67,3,1,12528,0,130,2550,41,2550,104.18625,0,0,3.5,0,-19,2,17655,0,109.3955612,1139
73,2550,130,0,0,35.5,35.5,9,45,2550,165,0,0,5,0,-30,1,12678,0,130,2550,40,1282,109.3955625,0,0,2.5,0,-1,2,17792,0,114.8653412,1800
26,2550,130,0,0,-11.5,0,-47,5,970,165,0,0,-35,0,-40,1,12818,0,130,2550,55,2442,114.8653406,0,0,17.5,17.5,15,2,18065,0,126.6390381,1162
6,2550,130,0,0,-31.5,-31.5,-20,5,2550,165,0,0,-35,-35,0,1,12967,0,130,2550,40,2420,120.6086077,0,0,2.5,0,-15,2,18231,0,132.970993,1767
16,2550,130,0,0,-21.5,-53,10,15,2550,165,0,0,-25,-60,10,1,12967,0,130,2550,47,2406,126.639038,0,0,9.5,0,7,2,18511,0,139.6195374,1746
60,2550,130,0,0,22.5,0,44,65,1808,165,0,0,25,0,50,1,13249,0,130,2550,47,1281,132.9709899,0,0,9.5,0,0,2,18650,0,153.930542,1702
71,2550,130,0,0,33.5,33.5,11,71,1762,165,0,0,31,31,6,1,13391,0,130,2550,31,2360,139.6195394,0,0,-6.5,0,-16,2,18783,0,161.6270752,1672
13,2550,130,0,0,-24.5,0,-58,64,1722,165,0,0,24,55,-7,1,13391,0,130,2550,45,2550,146.6005164,0,0,7.5,0,14,2,19082,0,90,1633
7,2550,130,0,0,-30.5,-30.5,-6,38,1694,165,0,0,-2,0,-26,1,13678,0,130,2550,34,2550,153.9305422,0,0,-3.5,0,-11,2,19223,0,90,1619
71,2550,130,0,0,33.5,0,64,9,1679,165,0,0,-31,-31,-29,1,13678,0,130,2550,42,2550,161.6270693,0,0,4.5,0,8,2,19502,0,90,1076
77,2550,130,0,0,39.5,39.5,6,14,1650,165,0,0,-26,-57,5,1,13829,0,130,2550,37,2258,165,0,0,-0.5,0,-5,2,19680,0,90,1093
22,2550,130,0,0,-15.5,0,-55,65,1611,165,0,0,25,0,51,1,13981,0,130,2550,41,2223,165,0,0,3.5,0,4,2,19955,0,94.5,1076
14,1797,130,0,0,-23.5,-23.5,-8,67,1603,165,0,0,27,27,2,1,14121,0,130,2550,42,2550,165,0,0,4.5,0,1,2,20088,0,90,1173
62,2370,130,0,0,24.5,0,48,62,1564,165,0,0,22,49,-5,1,14261,0,130,2550,29,2550,165,0,0,-8.5,0,-13,2,20242,0,94.5,2550
68,1825,130,0,0,30.5,30.5,6,28,1536,165,0,0,-12,0,-34,1,14410,0,130,1797,43,2550,165,0,0,5.5,0,14,2,20518,0,104.1862488,2304
20,1783,130,0,0,-17.5,0,-48,8,1519,165,0,0,-32,-32,-20,1,14551,0,130,2370,42,2158,165,0,0,4.5,0,-1,2,20654,0,109.3955612,2550
5,1732,130,0,0,-32.5,-32.5,-15,34,1472,165,0,0,-6,0,26,1,14710,0,130,1825,35,2550,165,0,0,-2.5,0,-7,2,20924,0,120.6086044,1138
56,1723,130,0,0,18.5,0,51,64,1456,165,0,0,24,0,30,1,14852,0,130,1783,36,2550,165,0,0,-1.5,0,1,2,21081,0,126.6390381,1525
69,2390,130,0,0,31.5,31.5,13,64,1435,165,0,0,24,24,0,1,15147,0,130,1732,41,2150,165,0,0,3.5,0,5,2,21366,0,132.970993,1119
18,1665,130,0,0,-19.5,0,-51,46,1418,165,0,0,6,0,-18,1,15147,0,130,1723,33,2282,165,0,0,-4.5,0,-8,2,21495,0,146.6005096,2550
6,1641,130,0,0,-31.5,-31.5,-12,29,1387,165,0,0,-11,0,-17,1,15297,0,130,2390,44,1936,165,0,0,6.5,0,11,2,21775,0,153.930542,1166
41,1640,130,0,0,3.5,0,35,21,1385,165,0,0,-19,-19,-8,1,15439,0,130,1665,39,1877,165,0,0,1.5,0,-5,2,21916,0,165,954
68,1678,130,0,0,30.5,30.5,27,53,1385,165,0,0,13,0,32,1,15579,0,130,1641,29,2550,165,0,0,-8.5,0,-10,2,22071,0,165,1111
33,1616,130,0,0,-4.5,0,-35,71,1326,165,0,0,31,31,18,1,15728,0,130,1640,49,1823,165,0,0,11.5,0,20,2,22351,0,165,1046
5,1572,130,0,0,-32.5,-32.5,-28,70,1326,165,0,0,30,61,-1,1,16007,0,130,1678,34,1760,165,0,0,-3.5,0,-15,2,22521,0,165,2550
29,1558,130,0,0,-8.5,0,24,72,1326,165,0,0,32,93,2,1,16007,0,130,1616,37,1725,165,0,0,-0.5,0,3,2,22654,0,165,1012
77,1528,130,0,0,39.5,0,48,75,1254,165,0,0,35,128,3,1,16152,0,130,1572,39,1679,165,0,0,1.5,0,2,2,22943,0,165,984
49,1529,130,0,0,11.5,11.5,-28,74,1227,90,0,0,34,162,-1,1,16298,0,130,1558,34,1642,165,0,0,-3.5,0,-5,2,23076,0,165,1054
6,1490,130,0,0,-31.5,0,-43,73,1210,90,0,0,33,195,-1,1,16448,0,130,1528,33,1611,165,0,0,-4.5,0,-1,2,23381,0,165,1024
14,1486,130,0,0,-23.5,-23.5,8,75,1196,90,0,0,35,230,2,1,16580,0,130,1529,46,1575,165,0,0,8.5,0,13,2,23536,0,165,899
73,1486,130,0,0,35.5,0,59,59,1202,90,0,0,19,249,-16,1,16728,0,130,1490,24,1549,165,0,0,-13.5,0,-22,2,23681,0,165,921
78,1472,130,0,0,40.5,40.5,5,9,1902,90,0,0,-31,0,-50,1,16877,0,130,1486,51,1498,165,0,0,13.5,0,27,2,23942,0,165,937
19,1472,130,0,0,-18.5,0,-59,5,1877,94.5,0,0,-35,-35,-4,1,17027,0,130,1486,31,1468,165,0,0,-6.5,0,-20,2,24104,0,165,842
5,1472,130,0,0,-32.5,-32.5,-14,37,1174,99.225,0,0,-3,0,32,1,17175,0,130,1472,40,1443,165,0,0,2.5,0,9,2,24372,0,165,818
60,1472,130,0,0,22.5,0,55,85,1168,104.18625,0,0,45,0,48,1,17318,0,130,1472,33,1400,165,0,0,-4.5,0,-7,2,24523,0,165,782
79,1472,130,0,0,41.5,41.5,19,85,1139,109.3955625,0,0,45,45,0,1,17471,0,130,1472,30,1376,165,0,0,-7.5,0,-3,2,24815,0,165,2550
28,2550,130,0,0,-9.5,0,-51,54,1156,114.8653406,0,0,14,59,-31,1,17772,0,130,1472,56,1353,165,0,0,18.5,0,26,2,24955,0,165,765
5,2550,130,0,0,-32.5,-32.5,-23,6,1800,120.6086077,0,0,-34,0,-48,1,17772,0,130,1472,64,1317,165,0,0,26.5,26.5,8,2,25112,0,165,757
18,2550,130,0,0,-19.5,-52,13,11,1783,126.639038,0,0,-29,-29,5,1,17920,0,130,2550,67,1269,165,0,0,29.5,56,3,2,25392,0,165,757
62,1856,130,0,0,24.5,0,44,68,1162,132.9709899,0,0,28,0,57,1,18060,0,130,2550,66,1236,165,0,0,28.5,84.5,-1,2,25534,0,165,1679
51,1408,130,0,0,13.5,13.5,-11,62,1767,139.6195394,0,0,22,22,-6,1,18338,0,130,2550,64,1200,165,0,0,26.5,111,-2,2,25821,0,165,734
6,2063,130,0,0,-31.5,0,-45,68,1746,146.6005164,0,0,28,50,6,1,18497,0,130,1856,66,1181,90,0,0,28.5,139.5,2,2,25972,0,165,728
7,2072,130,0,0,-30.5,-30.5,1,68,1718,153.9305422,0,0,28,78,0,1,18497,0,130,1408,55,1162,90,0,0,17.5,157,-11,2,26130,0,165,728
67,2047,130,0,0,29.5,0,60,68,1702,161.6270693,0,0,28,106,0,1,18648,0,130,2063,77,1155,90,0,0,39.5,196.5,22,2,26392,0,165,2550
73,1366,130,0,0,35.5,35.5,6,71,1672,90,0,0,31,137,3,1,18789,0,130,2072,71,1848,90,0,0,33.5,230,-6,2,26530,0,165,2124
7,2550,130,0,0,-30.5,0,-66,77,1638,90,0,0,37,174,6,1,18931,0,130,2047,5,1816,90,0,0,-32.5,0,-66,2,26835,0,165,2550
5,2382,130,0,0,-32.5,-32.5,-2,75,1633,90,0,0,35,209,-2,1,19078,0,130,1366,5,1805,94.5,0,0,-32.5,-32.5,0,2,26984,0,165,2550
47,2340,130,0,0,9.5,0,42,72,1619,90,0,0,32,241,-3,1,19219,0,130,2550,10,1786,99.225,0,0,-27.5,-60,5,2,27130,0,165,1372
61,2550,130,0,0,23.5,23.5,14,62,1089,90,0,0,22,263,-10,1,19362,0,130,2382,52,1763,104.18625,0,0,14.5,0,42,2,27406,0,165,1288
26,1280,130,0,0,-11.5,0,-35,14,1076,90,0,0,-26,0,-48,1,19507,0,130,2340,56,1744,109.3955625,0,0,18.5,18.5,4,2,27545,0,165,1286
18,1250,130,0,0,-19.5,-19.5,-8,5,1093,94.5,0,0,-35,-35,-9,1,19658,0,130,2550,49,1722,114.8653406,0,0,11.5,30,-7,2,27830,0,165,1255
73,2550,130,0,0,35.5,0,55,60,1076,99.225,0,0,20,0,55,1,19807,0,130,1280,55,1693,120.6086077,0,0,17.5,47.5,6,2,27982,0,165,2282
71,2230,130,0,0,33.5,33.5,-2,72,326,90,0,0,32,32,12,1,19950,0,130,1250,62,1674,126.639038,0,0,24.5,72,7,2,28262,0,165,2550
64,2230,130,0,0,26.5,60,-7,70,1173,94.5,0,0,30,62,-2,1,20086,0,130,2550,66,1648,132.9709899,0,0,28.5,100.5,4,2,28413,0,165,2154
67,2227,130,0,0,29.5,89.5,3,66,2550,99.225,0,0,26,88,-4,1,20358,0,130,2230,63,1633,90,0,0,25.5,126,-3,2,28692,0,165,2550
71,2227,130,0,0,33.5,123,4,39,362,104.18625,0,0,-1,0,-27,1,20500,0,130,2227,58,1626,90,0,0,20.5,146.5,-5,2,28821,0,90,1119
74,336,80,0,0,36.5,159.5,3,11,2304,109.3955625,0,0,-29,-29,-28,1,20500,0,130,2227,24,2550,90,0,0,-13.5,0,-34,2,28971,0,90,1093
78,2163,80.5,0,0,40.5,200,4,19,2550,114.8653406,0,0,-21,-50,8,1,20643,0,130,2227,65,2550,94.5,0,0,27.5,0,41,2,29282,0,90,1058
78,1122,81,0,0,40.5,240.5,0,62,1138,120.6086077,0,0,22,0,43,1,20788,0,130,336,64,1603,99.225,0,0,26.5,26.5,-1,2,29412,0,90,1052
80,1114,81.5,0,0,42.5,283,2,66,2550,126.639038,0,0,26,26,4,1,20928,0,80,2163,61,2550,104.18625,0,0,23.5,50,-3,2,29572,0,90,595
80,1062,82,0,0,42.5,325.5,0,56,1525,132.9709899,0,0,16,42,-10,1,21077,0,80.5,1122,56,2550,109.3955625,0,0,18.5,68.5,-5,2,29860,0,94.5,605
