Original Statement,tp,tn,fp,fn,score
"m_72: (v(i=0, t=62)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",794,222,306,191,78.1496062992126
"m_99: (v(i=0, t=89)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",781,221,302,182,77.9441117764471
"m_71: (v(i=0, t=61)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",789,227,312,186,77.65748031496062
"m_126: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=16)<c(i=0, t=None))",818,237,328,176,77.53554502369668
"m_165: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=55)<c(i=0, t=None))",804,233,335,148,77.53134040501446
"m_70: (v(i=0, t=60)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",786,230,316,183,77.36220472440945
"m_100: (v(i=0, t=90)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",774,227,309,175,77.32267732267732
"m_69: (v(i=0, t=59)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",782,234,321,179,76.96850393700787
"m_166: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=56)<c(i=0, t=None))",795,241,343,140,76.73745173745174
"m_101: (v(i=0, t=91)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",767,233,316,168,76.7
"m_125: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=15)<c(i=0, t=None))",809,246,337,168,76.68246445497631
"m_68: (v(i=0, t=58)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",778,238,326,175,76.5748031496063
"m_102: (v(i=0, t=92)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",761,238,322,162,76.17617617617618
"m_67: (v(i=0, t=57)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",773,243,332,170,76.08267716535433
"m_167: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=57)<c(i=0, t=None))",787,248,350,133,76.03864734299518
"m_124: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=14)<c(i=0, t=None))",802,253,345,161,76.01895734597156
"m_66: (v(i=0, t=56)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",769,247,337,166,75.68897637795276
"m_103: (v(i=0, t=93)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",755,243,328,156,75.65130260521042
"m_123: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=13)<c(i=0, t=None))",796,259,352,155,75.45023696682465
"m_168: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=58)<c(i=0, t=None))",778,256,358,125,75.24177949709865
"m_65: (v(i=0, t=55)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",763,253,344,160,75.0984251968504
"m_104: (v(i=0, t=94)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",748,249,335,149,75.02507522567703
"m_122: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=12)<c(i=0, t=None))",790,265,359,149,74.88151658767772
"m_169: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=59)<c(i=0, t=None))",772,261,363,120,74.73378509196516
"m_105: (v(i=0, t=95)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",742,254,341,143,74.49799196787149
"m_170: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=60)<c(i=0, t=None))",768,264,366,117,74.4186046511628
"m_64: (v(i=0, t=54)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",756,260,352,153,74.40944881889764
"m_121: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=11)<c(i=0, t=None))",784,271,366,143,74.31279620853081
"m_106: (v(i=0, t=96)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",738,257,345,139,74.17085427135677
"m_1: (v(i=0, t=0)<=c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",783,274,368,140,74.07757805108798
"m_6: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=10)<=c(i=0, t=None))",781,274,370,140,74.02843601895735
"m_171: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=61)<c(i=0, t=None))",763,268,370,113,74.00581959262851
"m_107: (v(i=0, t=97)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",733,261,350,134,73.74245472837022
"m_172: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=62)<c(i=0, t=None))",759,271,373,110,73.68932038834951
"m_63: (v(i=0, t=53)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",748,268,361,145,73.62204724409449
"m_108: (v(i=0, t=98)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",731,262,352,132,73.61530715005036
"m_120: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=9)<c(i=0, t=None))",776,279,376,135,73.55450236966826
"m_11: (v(i=0, t=1)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",775,279,376,135,73.52941176470588
"m_4: (v(i=0, t=0)!=c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",1149,414,2,0,73.51247600767753
"m_109: (v(i=0, t=99)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",727,265,355,129,73.28629032258065
"m_119: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=8)<c(i=0, t=None))",770,285,383,129,72.98578199052133
"m_173: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=63)<c(i=0, t=None))",751,278,380,103,72.98347910592808
